Client Account,Job Client,Job Number,Job Type,Job CRN,Job Tags,Job Status,Serial Number,Client Tag,Asset Tags,Requested By,Requested Date,Finished Date,Invoice Status,Job Number,CustomerPONumber,DatePosted,PaymentStatus,Comment,Model,LocationType,Location CRN,Location CRN2,Location Name,Street Address,Suburb,State,PostCode,Notes,Line Items,Line Items Per Unit Ex. Gst,Total Ex. Gst,GST,Total
SKOPE Industries,SKOPE INDUSTRIES,SIL-1136712R,Repair,,,Completed Successfully,HA220110129,,,Amy - 0477261145,2/06/2023 11:26:00 AM,20/06/2023 11:41:00 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,TMF1000 - ActiveCore Freezer,Outlet,,,Ingenia Gardens Sovereign,26-28 Beverin Street,Sebastopol,VIC,3356,"found compressor noisy internally, not pumping, to be replaced.
compressor is still covered by warranty, reattend site and pickup freezer to workshop
Remove and replace faulty compressor, weld in new
drier, weld in new schreader access valve, pressurize
with nitrogen, leak test ok, vac out system, run and
recharge with r290 refrigerant, run and observe
operation,freezer is working ok now. Ready for return to client.

Return freezer back to Ingenia Gardens kitchen, reinstall unit back onto top of freezer, run unit working ok.
now temperature is recovering well.
Recalled back to freezer now making loud annoying vibration noise, found to be being caused by compressor inverter electrical box, eliminate noise from unit,
observe cycle of operation all working","Labour,Compressor,1/4 Drier,Access Fiting copper T & Fl nut w/-bonnet,NItrogen,R290","1320.0000,0.0000,42.0000,17.6000,24.6000,75.6000",1479.8000,147.98,1627.7800
SKOPE Industries,7 Eleven Stores PTY LTD,SIL-1166287R,Repair,5501026779HVAC847342,,Futile,A220511786,,,HVAC847342,3/08/2023 2:36:00 PM,3/08/2023 3:45:20 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OPENFACE,Outlet,,,7-Eleven 152 Exhibition St,152 Exhibition Street,Melbourne,VIC,3000,Credit,"Call Out,Labour,Parking","-80.0000,-75.0000,-7.0000",-162.0000,-16.20,-178.2000
SKOPE Industries,7 Eleven Stores PTY LTD,SIL-1199159R,Repair,5501026151HVAC877491,after hours facilitation,Completed Successfully,A221215106,,,WO,14/10/2023 5:50:00 PM,18/10/2023 9:41:54 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OPENFACE,Outlet,,,7-Eleven Mundingburra,19 Bowen Road,Mundingburra,QLD,4812,"Found no water overflowing at time of attendance.
Clean restricted condenser coil.
Check cabinet condensate drain and control settings.
Note indication of high water levels on condensate tray.
Advise Tech support to gain if this is a common problem in high humidity conditions
Check for water leaks. Non found. Condensate tray found to be dry.
Check site humidity. Found at 48%.
Out side humidity found to be 52%.
Will wait until a more humid enviorment to check tray.
Return to site and check operating conditions.
Shop humidity found to be 62%. External conditions found to be 74%.
Note. Operating conditions exceed design levels. Advise as required","Call Out,Labour,Labour","-30.0000,-110.0000,-27.5000",-167.5000,-16.75,-184.2500
SKOPE Industries,SKOPE INDUSTRIES,SIL-1202482R,Repair,HVAC883209/5501038888,,Completed Successfully,A220210608,,,Adam - Site,23/10/2023 7:40:00 AM,23/10/2023 12:37:38 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OPENFACE,Outlet,,,7 Eleven - Northgate,185 Toombul Road,Northgate,QLD,4013,Credit,"Call Out,Labour,Part replacement","-67.0000,-85.0000,-3.0000",-155.0000,-15.50,-170.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1204023R,Repair,HVAC884497,,Completed Successfully,A211114930,,,Platinum FM - email,26/10/2023 9:18:00 AM,30/10/2023 12:02:09 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OPENFACE,Outlet,,,7-Eleven - Beaudesert,149-151 Brisbane Street,Beaudesert,QLD,4285,Credit,"Call Out,Labour,Travel Time","-65.0000,-65.0000,-15.0000",-145.0000,-14.50,-159.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1212922R,Repair,HVAC889504,,Completed Successfully,A211014463,,,Platinum FM - email,13/11/2023 8:42:00 AM,13/11/2023 11:49:12 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OPENFACE,Outlet,,,7-Eleven - Cornubia,164 Beenleigh Redland Bay Road,Cornubia,QLD,4130,Credit,"Call Out,Labour,Consumables","-90.0000,-90.0000,-10.0000",-190.0000,-19.00,-209.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1215815R,Repair,,,Completed Successfully,A211115374,,,Dale Angel - email,17/11/2023 2:31:00 PM,11/06/2024 10:13:09 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,CC300 / CC275,Outlet,,,Boardwalk Tavern,8 Santa Barbara Road,Hope Island,QLD,4212,"Travelled to site and found unit running short of gas. Leak tested and found leaking in evaporator. Topped  up gas charge so customer could use cabinet till new evaporator arrived. Ran and tested.
Return to site and removed unit from cabinet return to workshop installed access valve and pressure test unit leak tested and found evaporator coil leaking removed panels and fan to enable coil change
Travelled to site and removed cyclone unit to workshop. Reclaimed gas from system and removed faulty evaporator. Replaced and replaced drier. Nitrogen tested and serviced cabinet. Evacuated and gas charged and ran and tested. Returned unit to site and reinstalled. Ran and tested. O.K.","Labour,Travel Time,CLS9902REC - evap,Consumables,Nitrogen,Solder/Oxy,Drier,Gas,Access Valve,Call Out,Labour,Labour,Travel Time","405.0000,90.0000,0.0000,10.0000,15.0000,28.0000,38.0000,88.0000,15.0000,90.0000,90.0000,135.0000,90.0000",1094.0000,109.40,1203.4000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1216102R,Repair,,,Completed Successfully,5061883060201064,,,GREG G,20/11/2023 7:32:00 AM,26/06/2024 1:52:44 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,3 DR SOLID UNDERBENCH FRIDGE,Warehouse,f2cd59ed-998a-4009-8c73-349acdc0e103,,PFM WAREHOUSE - SA - BEVERLEY,113 Ledger Road,Beverley,SA,5009,Removed left hand door and repositioned torsion bar to get door to self close.,Labour,85.0000,85.0000,8.50,93.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1217846R,Repair,HVAC895557,,Completed Successfully,A220311095,,,Platinum FM - email,23/11/2023 9:54:00 AM,24/11/2023 3:07:28 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OPENFACE,Outlet,,,7-Eleven,720 Sunbury Road,Sunbury,VIC,3429,Credit,"Call Out,Labour,Nitrogen","-80.0000,-75.0000,-25.0000",-180.0000,-18.00,-198.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1218787R,Repair,HVAC896124,,Futile,A220210706,,,Platinum FM - email,24/11/2023 1:13:00 PM,30/11/2023 6:59:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OPENFACE,Outlet,,,7-Eleven Wilsonton,415 Bridge Street,Wilsonton,QLD,4350,Credit,Call Out,-210.0000,-210.0000,-21.00,-231.0000
